Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,ContosoUniversity.API\ContosoUniversity.API.csproj,File,ContosoUniversity.API\ContosoUniversity.API.csproj,,,Microsoft.AspNetCore.Mvc.NewtonsoftJson 6.0.5,,,,,"Microsoft.AspNetCore.Mvc.NewtonsoftJson, 6.0.5  Recommendation:  Remove Microsoft.AspNetCore.Mvc.NewtonsoftJson, and replace with new package Microsoft.AspNetCore.Mvc.NewtonsoftJson 10.0.7"
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,ContosoUniversity.API\ContosoUniversity.API.csproj,File,ContosoUniversity.API\ContosoUniversity.API.csproj,,,Microsoft.AspNetCore.Razor.Language 6.0.15,,,,,"Microsoft.AspNetCore.Razor.Language, 6.0.15  Recommendation:  Package functionality included with new framework reference"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,ContosoUniversity.API\ContosoUniversity.API.csproj,File,ContosoUniversity.API\ContosoUniversity.API.csproj,,,Microsoft.EntityFrameworkCore 7.0.4,,,,,"Microsoft.EntityFrameworkCore, 7.0.4  Recommendation:  Remove Microsoft.EntityFrameworkCore, and replace with new package Microsoft.EntityFrameworkCore 10.0.7"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,ContosoUniversity.API\ContosoUniversity.API.csproj,File,ContosoUniversity.API\ContosoUniversity.API.csproj,,,Microsoft.EntityFrameworkCore.SqlServer 7.0.4,,,,,"Microsoft.EntityFrameworkCore.SqlServer, 7.0.4  Recommendation:  Remove Microsoft.EntityFrameworkCore.SqlServer, and replace with new package Microsoft.EntityFrameworkCore.SqlServer 10.0.7"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,ContosoUniversity.API\ContosoUniversity.API.csproj,File,ContosoUniversity.API\ContosoUniversity.API.csproj,,,Microsoft.EntityFrameworkCore.Tools 7.0.4,,,,,"Microsoft.EntityFrameworkCore.Tools, 7.0.4  Recommendation:  Remove Microsoft.EntityFrameworkCore.Tools, and replace with new package Microsoft.EntityFrameworkCore.Tools 10.0.7"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,ContosoUniversity.API\ContosoUniversity.API.csproj,File,ContosoUniversity.API\ContosoUniversity.API.csproj,,,Microsoft.VisualStudio.Web.CodeGeneration.Design 6.0.4,,,,,"Microsoft.VisualStudio.Web.CodeGeneration.Design, 6.0.4  Recommendation:  Remove Microsoft.VisualStudio.Web.CodeGeneration.Design, and replace with new package Microsoft.VisualStudio.Web.CodeGeneration.Design 10.0.2"
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,ContosoUniversity.API\ContosoUniversity.API.csproj,File,ContosoUniversity.API\ContosoUniversity.API.csproj,,,System.Runtime.Extensions 4.3.1,,,,,"System.Runtime.Extensions, 4.3.1  Recommendation:  Package functionality included with new framework reference"
NuGet.0004,NuGet package contains security vulnerability,Active,Optional,1,ContosoUniversity.API\ContosoUniversity.API.csproj,File,ContosoUniversity.API\ContosoUniversity.API.csproj,,,Azure.Identity 1.8.2,,,,,"Azure.Identity, 1.8.2  Recommendation:  Azure.Identity, 1.21.0"
NuGet.0005,NuGet package is deprecated,Active,Optional,1,ContosoUniversity.API\ContosoUniversity.API.csproj,File,ContosoUniversity.API\ContosoUniversity.API.csproj,,,Azure.Identity 1.8.2,,,,,"Azure.Identity, 1.8.2  Recommendation:  This version has a vulnerability rated as MODERATE severity, which represents an additional attack surface in enterprise authentication systems and could potentially be chained with other vulnerabilities to create more significant security risks. Remove Azure.Identity, and replace with new package Azure.Identity, 1.21.0"
NuGet.0005,NuGet package is deprecated,Active,Optional,1,ContosoUniversity.API\ContosoUniversity.API.csproj,File,ContosoUniversity.API\ContosoUniversity.API.csproj,,,Microsoft.ApplicationInsights.AspNetCore 2.21.0,,,,,"Microsoft.ApplicationInsights.AspNetCore, 2.21.0  Recommendation:  This version is deprecated. Please use the most recent version. Remove Microsoft.ApplicationInsights.AspNetCore, and replace with new package Microsoft.ApplicationInsights.AspNetCore, 3.1.0"
NuGet.0004,NuGet package contains security vulnerability,Active,Optional,1,ContosoUniversity.API\ContosoUniversity.API.csproj,File,ContosoUniversity.API\ContosoUniversity.API.csproj,,,Microsoft.Data.SqlClient 5.0.1,,,,,"Microsoft.Data.SqlClient, 5.0.1  Recommendation:  Microsoft.Data.SqlClient, 7.0.1"
NuGet.0005,NuGet package is deprecated,Active,Optional,1,ContosoUniversity.API\ContosoUniversity.API.csproj,File,ContosoUniversity.API\ContosoUniversity.API.csproj,,,Microsoft.Data.SqlClient 5.0.1,,,,,"Microsoft.Data.SqlClient, 5.0.1  Recommendation:  An important security issue exists in this version of the package. It is recommended to update to a newer version. https://msrc.microsoft.com/update-guide/vulnerability/CVE-2024-0056  A regression was introduced in 5.0.1 that resulted in a memory leak during certain async operations. It's recommended to update to at least 5.0.2 to avoid the issue. Remove Microsoft.Data.SqlClient, and replace with new package Microsoft.Data.SqlClient, 7.0.1"
NuGet.0005,NuGet package is deprecated,Active,Optional,1,ContosoUniversity.API\ContosoUniversity.API.csproj,File,ContosoUniversity.API\ContosoUniversity.API.csproj,,,Microsoft.Extensions.Azure 1.6.3,,,,,"Microsoft.Extensions.Azure, 1.6.3  Recommendation:  This version takes a dependency on a deprecated version of Azure.Identity. Remove Microsoft.Extensions.Azure, and replace with new package Microsoft.Extensions.Azure, 1.14.0"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,ContosoUniversity.API\ContosoUniversity.API.csproj,File,ContosoUniversity.API\ContosoUniversity.API.csproj,,,,,,,,Current target framework: net6.0 Recommended target framework: net10.0
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,ContosoUniversity.CodedUITest\ContosoUniversity.CodedUITest.csproj,File,ContosoUniversity.CodedUITest\ContosoUniversity.CodedUITest.csproj,,,,,,,,Current target framework: net6.0 Recommended target framework: net10.0
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,ContosoUniversity.CodedUITest\ContosoUniversity.CodedUITest.csproj,File,ContosoUniversity.CodedUITest\NavigationMenuTest.cs,29,16,M:System.TimeSpan.FromSeconds(System.Double),,,,,driver.Manage().Timeouts().ImplicitWait = TimeSpan.FromSeconds(30);
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,ContosoUniversity.CodedUITest\ContosoUniversity.CodedUITest.csproj,File,ContosoUniversity.CodedUITest\DepartmentsTest.cs,141,16,M:System.TimeSpan.FromSeconds(System.Double),,,,,driver.Manage().Timeouts().ImplicitWait = TimeSpan.FromSeconds(30);
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,ContosoUniversity.CodedUITest\ContosoUniversity.CodedUITest.csproj,File,ContosoUniversity.CodedUITest\DepartmentsTest.cs,99,16,M:System.TimeSpan.FromSeconds(System.Double),,,,,driver.Manage().Timeouts().ImplicitWait = TimeSpan.FromSeconds(30);
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,ContosoUniversity.CodedUITest\ContosoUniversity.CodedUITest.csproj,File,ContosoUniversity.CodedUITest\DepartmentsTest.cs,58,16,M:System.TimeSpan.FromSeconds(System.Double),,,,,driver.Manage().Timeouts().ImplicitWait = TimeSpan.FromSeconds(30);
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,ContosoUniversity.CodedUITest\ContosoUniversity.CodedUITest.csproj,File,ContosoUniversity.CodedUITest\DepartmentsTest.cs,28,16,M:System.TimeSpan.FromSeconds(System.Double),,,,,driver.Manage().Timeouts().ImplicitWait = TimeSpan.FromSeconds(30);
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,ContosoUniversity.Test\ContosoUniversity.Test.csproj,File,ContosoUniversity.Test\ContosoUniversity.Test.csproj,,,,,,,,Current target framework: net6.0 Recommended target framework: net10.0
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,ContosoUniversity.WebApplication\ContosoUniversity.WebApplication.csproj,File,ContosoUniversity.WebApplication\ContosoUniversity.WebApplication.csproj,,,Microsoft.AspNetCore.Razor.Language 6.0.15,,,,,"Microsoft.AspNetCore.Razor.Language, 6.0.15  Recommendation:  Package functionality included with new framework reference"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,ContosoUniversity.WebApplication\ContosoUniversity.WebApplication.csproj,File,ContosoUniversity.WebApplication\ContosoUniversity.WebApplication.csproj,,,Microsoft.Extensions.DependencyInjection 6.0.0,,,,,"Microsoft.Extensions.DependencyInjection, 6.0.0  Recommendation:  Remove Microsoft.Extensions.DependencyInjection, and replace with new package Microsoft.Extensions.DependencyInjection 10.0.7"
